Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
Jae'Sean Tate,HOU,"SF,PF DTD",11.6,5.4,2.7,0.5,1,0.484,0.708,0.9,77,26.2,1.8,9.35,2.36
Dorian Finney-Smith,DAL,"SF,PF",11.6,4.6,1.8,0.5,1,0.469,0.726,2.3,78,32.3,1,8.65,1.04
Josh Hart,POR,"SG,SF DTD",11.5,5.1,2.8,0.2,1,0.455,0.788,1.3,68,28.7,1.8,10.54,3.91
Grayson Allen,MIL,"SG,SF DTD",11.5,3.5,1.5,0.3,0.7,0.443,0.867,2.4,70,26.8,0.7,8.62,1.12
Lonzo Ball,CHI,"PG,SG OUT",11.2,4.5,4.9,0.6,1.5,0.416,0.75,2.5,53,31.5,2.2,10.94,0.80
Derrick White,BOS,"PG,SG",11.1,3.1,3.3,0.6,0.8,0.429,0.854,1.4,72,25.6,1.4,10.67,3.13
Jaden McDaniels,MIN,"PF,SF",11.1,4.6,1.3,1.1,0.8,0.453,0.794,1.5,70,29.9,1.2,7.93,1.01
Darius Bazley,OKC,"SF,PF OUT",11.1,6.2,1.4,0.9,0.8,0.426,0.688,1.1,72,27.7,1.4,9.38,2.46
Thomas Bryant,LAL,C,11,4.9,1,1.1,0.3,0.564,0.802,0.6,69,22.2,1,5.50,1.50
Ivica Zubac,LAC,C DTD,10.9,9.1,1.5,1.1,0.6,0.642,0.75,0,75,26.9,1.7,6.51,2.99
Clint Capela,ATL,C DTD,10.8,11.4,1.1,1.3,0.7,0.61,0.5,0,71,26.7,0.7,8.15,2.28
Derrick Rose,NYK,"PG,SG",10.8,3.3,3.6,0.4,0.8,0.434,0.852,1.3,45,21.9,1.2,10.54,1.19
Nassir Little,POR,SF,10.8,6,1.3,0.9,0.6,0.474,0.751,1.2,64,26.6,1.1,7.50,2.24
De'Anthony Melton,PHI,"PG,SG",10.7,4.1,2.6,0.5,1.3,0.407,0.784,1.8,73,24.5,2.2,9.52,1.64
Isaiah Jackson,IND,PF,10.7,5.5,0.6,1.5,0.7,0.547,0.659,0.2,70,23.2,1.5,13.60,5.30
JaVale McGee,DAL,C,10.6,7.6,0.7,1.3,0.4,0.574,0.707,0,73,21.1,1.5,13.70,4.00
Cameron Payne,PHO,"PG,SG",10.6,3.1,4.9,0.3,0.8,0.417,0.8,1.2,64,21.8,1.7,15.30,0.50
Patrick Williams,CHI,"SF,PF",10.4,4.1,1.1,0.6,0.9,0.486,0.738,1.2,70,28.3,1,9.70,2.70
Nic Claxton,BKN,"C,PF DTD",10.3,7.1,1.1,1.5,0.7,0.643,0.597,0,69,26.3,1.1,10.00,3.50
Montrezl Harrell,PHI,"PF,C",10.2,4.7,0.9,0.6,0.4,0.58,0.733,0.3,71,17.9,0.9,7.83,4.20
Robert Williams III,BOS,"C,PF DTD",10.2,11,1.9,2.2,0.9,0.733,0.727,0,59,29.4,2.3,7.40,0.70
Reggie Bullock,DAL,"SG,SF",10,3.5,1.3,0.2,0.6,0.426,0.849,2.5,73,29.5,1,10.10,1.20
Pat Connaughton,MIL,"SG,SF DTD",10,4,1.3,0.2,0.8,0.441,0.828,2.3,71,26.2,0.6,7.63,0.83
Talen Horton-Tucker,UTH,"SG,SF",9.9,3.2,2.7,0.4,1,0.422,0.807,1,68,25.6,1.2,13.00,3.20
Isaiah Stewart,DET,"PF,C",9.9,8.2,1.1,1.2,0.4,0.507,0.724,0.7,71,25.9,1.3,6.92,1.45
Daniel Gafford,WAS,"C,PF",9.7,6.3,1,1.3,0.5,0.667,0.701,0,71,20.8,1,5.69,2.13
Josh Richardson,SAS,"SG,SF DTD",9.7,3.1,1.8,0.4,0.8,0.429,0.888,1.5,62,21.4,0.9,8.22,1.66
Jae Crowder,PHO,"SF,PF DTD",9.6,4.6,1.7,0.4,1.3,0.407,0.784,1.9,67,26.4,0.8,8.12,1.34
Herbert Jones,NOR,SF,9.6,3.8,1.9,0.6,1.7,0.466,0.851,0.9,76,30.2,1.3,9.20,2.60
Obi Toppin,NYK,"SF,PF DTD",9.5,4.7,1.2,0.5,0.4,0.52,0.709,0.8,72,19.2,1,13.20,3.20
Onyeka Okongwu,ATL,"PF,C",9.4,6.6,1.2,1.4,0.7,0.648,0.741,0,68,22.5,1,4.71,2.29
Deni Avdija,WAS,"SG,SF,PF",9.4,5.2,2,0.6,0.7,0.438,0.766,1.1,78,23.8,1.2,10.30,2.30
Caleb Martin,MIA,G DTD,9.3,4.1,1.2,0.5,1.1,0.487,0.762,1.3,70,25.3,0.8,6.83,1.55
Patrick Beverley,LAL,"PG,SG",9.3,4.1,4.3,0.8,1.2,0.417,0.732,1.4,60,24.6,1.3,7.52,2.29
Bruce Brown Jr.,BKN,"SG,SF",9.3,4.8,2.1,0.7,1.1,0.493,0.755,0.7,74,24.8,0.9,10.50,2.70
Aleksej Pokusevski,OKC,"SF,PF",9.2,6,2.4,0.7,0.7,0.419,0.736,1,66,23.6,1.1,13.30,1.60
Al Horford,BOS,"PF,C DTD",9.2,7.3,3.1,1.1,0.7,0.459,0.826,1.1,65,27.9,1,8.25,1.38
Cody Martin,CHA,"SG,SF DTD",9.2,4.7,2.8,0.5,1.3,0.451,0.711,1.1,74,27.6,1.1,5.96,1.51
Mitchell Robinson,NYK,C,8.7,8.9,0.6,1.8,0.8,0.713,0.482,0,71,25.7,1.2,4.76,2.51
Tyus Jones,MEM,PG,8.6,2.4,4.3,0,0.8,0.455,0.863,1.2,73,20.4,0.6,7.56,0.90
Richaun Holmes,SAC,"PF,C DTD",8.3,7.2,1,0.8,0.4,0.655,0.804,0,68,19.9,1.4,6.69,2.00
Killian Hayes,DET,"PG,SG DTD",8.2,3.2,4.4,0.4,1.2,0.4,0.791,0.8,71,25.3,1.2,#N/A,#N/A
